date,open,high,low,close,volume,adjclose
2007-12-31,28.85,29.33,28.639999,28.93,49599500,24.920418
2007-12-28,29.299999,29.299999,28.73,28.940001,32366000,24.929032
2007-12-27,29.530001,29.530001,28.99,29.01,36127800,24.98933
2007-12-26,29.77,29.780001,29.41,29.610001,23564300,25.506173
2007-12-24,29.42,29.870001,29.40,29.82,43852100,25.687067
2007-12-21,29.15,29.35,28.84,29.290001,62549100,25.230524
2007-12-20,29.49,29.67,28.60,29.02,98252800,24.773118
2007-12-19,29.219999,29.690001,28.92,29.23,110179800,24.952385
2007-12-18,29.469999,29.51,28.57,29.059999,84071800,24.807264
2007-12-17,29.200001,29.60,29.02,29.040001,69628500,24.790192
2007-12-14,29.610001,30.120001,29.34,29.35,70296200,25.054825
2007-12-13,29.690001,30.040001,29.17,30.01,136130700,25.618238
2007-12-12,31.27,31.35,29.450001,30.02,142877300,25.626775
2007-12-11,31.92,32.139999,30.24,30.25,136732400,25.823115
2007-12-10,31.540001,32.09,31.290001,31.860001,79403900,27.197503
2007-12-07,31.68,31.75,31.200001,31.200001,81545400,26.63409
2007-12-06,30.68,31.620001,30.60,31.620001,99186800,26.992626
2007-12-05,30.65,30.90,30.290001,30.629999,86975500,26.147504
2007-12-04,30.25,30.40,30.049999,30.18,61245900,25.76336
2007-12-03,30.84,30.98,30.51,30.75,58951200,26.249944
2007-11-30,31.360001,31.68,30.82,31.00,117777600,26.463358
2007-11-29,30.299999,30.50,29.780001,30.25,86995300,25.823115
2007-11-28,29.50,30.52,29.389999,30.52,166725700,26.053603
2007-11-27,28.60,28.969999,28.24,28.799999,99819600,24.585313
2007-11-26,29.40,29.40,28.10,28.290001,103762700,24.149949
2007-11-23,28.85,29.469999,28.85,29.27,71832400,24.986532
2007-11-21,28.639999,29.08,28.25,28.59,109511400,24.406045
2007-11-20,29.15,29.85,28.450001,29.040001,146173800,24.790192
2007-11-19,30.110001,30.200001,29.34,29.690001,136617600,25.345068
2007-11-16,30.75,30.90,30.110001,30.51,81770800,26.045066
2007-11-15,31.24,31.530001,30.379999,30.75,109203200,26.249944
2007-11-14,32.34,32.490002,31.530001,31.549999,96446600,26.932869
2007-11-13,30.93,31.85,30.77,31.67,131450700,27.035308
2007-11-12,30.360001,31.18,30.18,30.25,108934900,25.823115
2007-11-09,29.75,31.00,29.450001,30.139999,134218000,25.729213
2007-11-08,30.50,30.52,29.290001,30.370001,118618200,25.925555
2007-11-07,31.200001,31.33,30.059999,30.059999,101827000,25.66092
2007-11-06,31.40,31.799999,30.950001,31.799999,82335400,27.146283
2007-11-05,30.959999,31.559999,30.709999,31.27,101461900,26.693846
2007-11-02,32.07,32.139999,30.99,31.84,159628100,27.18043
2007-11-01,32.75,33.450001,32.00,32.00,91285600,27.317015
2007-10-31,33.41,33.889999,33.099998,33.73,84949200,28.79384
2007-10-30,33.639999,33.639999,33.25,33.279999,28533900,28.409694
2007-10-29,33.709999,33.799999,33.389999,33.799999,38167900,28.853596
2007-10-26,33.52,33.700001,32.759998,33.700001,79171500,28.768232
2007-10-25,32.970001,33.220001,32.18,32.900002,78647800,28.085307
2007-10-24,33.099998,33.139999,32.099998,32.93,104561400,28.110916
2007-10-23,33.369999,33.369999,32.810001,33.18,49394100,28.32433
2007-10-22,32.27,33.200001,32.27,33.00,65483100,28.170671
2007-10-19,33.540001,33.73,32.549999,32.599998,89670000,27.829207
2007-10-18,33.450001,33.82,33.400002,33.720001,72192100,28.785305
2007-10-17,34.450001,34.580002,33.529999,34.150002,74371900,29.152378
2007-10-16,34.59,34.630001,34.00,34.169998,67821200,29.169448
2007-10-15,35.400002,35.41,34.450001,34.82,77068300,29.724326
2007-10-12,35.18,35.549999,35.18,35.540001,33482600,30.33896
2007-10-11,35.900002,35.900002,35.209999,35.310001,62945100,30.14262
2007-10-10,35.630001,35.740002,35.310001,35.50,32653000,30.304813
2007-10-09,35.57,35.830002,35.32,35.700001,32186200,30.475545
2007-10-08,35.84,35.84,35.25,35.400002,20989900,30.219449
2007-10-05,35.599998,35.970001,35.549999,35.889999,39598500,30.637739
2007-10-04,35.41,35.549999,35.259998,35.50,30393000,30.304813
2007-10-03,35.169998,35.50,35.119999,35.290001,42312400,30.125546
2007-10-02,35.150002,35.43,35.049999,35.369999,29490800,30.193837
2007-10-01,34.130001,35.049999,34.099998,34.970001,50132700,29.852376
2007-09-28,34.220001,34.540001,34.16,34.32,30769600,29.297498
2007-09-27,34.209999,34.48,34.110001,34.459999,35801900,29.417009
2007-09-26,34.139999,34.360001,33.869999,34.060001,52912400,29.075549
2007-09-25,33.939999,34.07,33.68,34.049999,35891300,29.06701
2007-09-24,34.650002,34.650002,33.98,34.119999,49536500,29.126766
2007-09-21,34.84,34.84,34.209999,34.599998,54089800,29.536521
2007-09-20,35.25,35.290001,34.549999,34.720001,64727200,29.42128
2007-09-19,35.32,35.669998,35.049999,35.150002,74788300,29.785657
2007-09-18,33.880001,35.099998,33.549999,34.93,138824400,29.599231
2007-09-17,33.700001,33.700001,33.369999,33.66,41027500,28.523049
2007-09-14,33.490002,33.98,33.450001,33.98,30328200,28.794212
2007-09-13,33.52,33.900002,33.490002,33.860001,54521500,28.692527
2007-09-12,33.299999,33.490002,33.080002,33.310001,32551800,28.226465
2007-09-11,33.07,33.490002,33.040001,33.240002,50653200,28.167148
2007-09-10,33.09,33.290001,32.549999,32.900002,59897300,27.879036
2007-09-07,33.00,33.34,32.810001,33.009998,75398300,27.972246
2007-09-06,33.59,33.919998,33.139999,33.349998,31866500,28.260358
2007-09-05,33.950001,33.970001,33.400002,33.599998,45146700,28.472204
2007-09-04,33.84,34.400002,33.66,34.009998,36565500,28.819633
2007-08-31,33.990002,34.00,33.43,33.75,55366800,28.599314
2007-08-30,33.119999,33.59,33.09,33.310001,47470500,28.226465
2007-08-29,33.299999,33.700001,32.860001,33.52,50235300,28.404415
2007-08-28,33.799999,33.830002,33.009998,33.119999,62302500,28.065459
2007-08-27,34.459999,34.490002,34.09,34.139999,19672000,28.929794
2007-08-24,34.34,34.709999,34.099998,34.540001,35356000,29.26875
2007-08-23,34.75,34.799999,34.200001,34.419998,51275400,29.167062
2007-08-22,34.490002,34.790001,34.060001,34.369999,70035000,29.124693
2007-08-21,33.830002,34.57,33.830002,34.279999,47656800,29.048428
2007-08-20,34.599998,34.630001,33.580002,34.040001,88478800,28.845057
2007-08-17,35.380001,35.389999,33.630001,34.50,177071700,29.234854
2007-08-16,31.940001,33.490002,31.51,33.150002,163717600,28.090883
2007-08-15,32.200001,33.110001,31.959999,32.18,81613000,27.268916
2007-08-14,33.27,33.299999,32.32,32.470001,71161500,27.514659
2007-08-13,34.130001,34.130001,32.689999,33.049999,57642300,28.006142
2007-08-10,32.959999,33.900002,32.849998,33.349998,77136200,28.260358
2007-08-09,33.75,34.439999,33.139999,33.50,101027100,28.387467
